nome_categoria;url
fotodeperfil;http://socialmedia.8020mkt.com.br/palestras/fotodeperfil/667
fotoparalinkedin;http://socialmedia.8020mkt.com.br/palestras/fotoparalinkedin/668
freelancer;http://socialmedia.8020mkt.com.br/palestras/freelancer/227
futebol;http://socialmedia.8020mkt.com.br/palestras/futebol/204
futuro;http://socialmedia.8020mkt.com.br/palestras/futuro/392
game;http://socialmedia.8020mkt.com.br/palestras/game/730
game marketing;http://socialmedia.8020mkt.com.br/palestras/game_marketing/699
games;http://socialmedia.8020mkt.com.br/palestras/games/6
gamificacao;http://socialmedia.8020mkt.com.br/palestras/gamificacao/704
gastronomia;http://socialmedia.8020mkt.com.br/palestras/gastronomia/161
gaylife;http://socialmedia.8020mkt.com.br/palestras/gaylife/680
geolocalização;http://socialmedia.8020mkt.com.br/palestras/geolocalizacao/287
gestão;http://socialmedia.8020mkt.com.br/palestras/gestao/57
gestão de crises;http://socialmedia.8020mkt.com.br/palestras/gestao_de_crises/753
gestão de marcas;http://socialmedia.8020mkt.com.br/palestras/gestao_de_marcas/148
gestão de processos;http://socialmedia.8020mkt.com.br/palestras/gestao_de_processos/341
gestão de tempo;http://socialmedia.8020mkt.com.br/palestras/gestao_de_tempo/652
gnusocial;http://socialmedia.8020mkt.com.br/palestras/GNUSocial/171
google classroom;http://socialmedia.8020mkt.com.br/palestras/Google_Classroom/757
governo;http://socialmedia.8020mkt.com.br/palestras/governo/257
grandes empresas;http://socialmedia.8020mkt.com.br/palestras/grandes_empresas/198
growth hacking;http://socialmedia.8020mkt.com.br/palestras/growth_hacking/5
grupos;http://socialmedia.8020mkt.com.br/palestras/grupos/267
gsfe;http://socialmedia.8020mkt.com.br/palestras/GSfE/759
hacker;http://socialmedia.8020mkt.com.br/palestras/hacker/782
humanização;http://socialmedia.8020mkt.com.br/palestras/humanizacao/489
humor;http://socialmedia.8020mkt.com.br/palestras/humor/350
imagem pública;http://socialmedia.8020mkt.com.br/palestras/imagem_publica/369
impactosocial;http://socialmedia.8020mkt.com.br/palestras/impactosocial/670
inbound;http://socialmedia.8020mkt.com.br/palestras/inbound/67
inclusão;http://socialmedia.8020mkt.com.br/palestras/inclusao/653
influenciadores;http://socialmedia.8020mkt.com.br/palestras/influenciadores/21
iniciativa social;http://socialmedia.8020mkt.com.br/palestras/iniciativa_social/805
inovação;http://socialmedia.8020mkt.com.br/palestras/inovacao/36
insights;http://socialmedia.8020mkt.com.br/palestras/insights/228
inspire-se mais;http://socialmedia.8020mkt.com.br/palestras/inspire_se_mais/756
instagram;http://socialmedia.8020mkt.com.br/palestras/instagram/249
integração;http://socialmedia.8020mkt.com.br/palestras/integracao/666
inteligência;http://socialmedia.8020mkt.com.br/palestras/inteligencia/289
inteligência artificial;http://socialmedia.8020mkt.com.br/palestras/inteligencia_artificial/139
interior;http://socialmedia.8020mkt.com.br/palestras/interior/32
internet das coisas;http://socialmedia.8020mkt.com.br/palestras/Internet_das_coisas/752
iot;http://socialmedia.8020mkt.com.br/palestras/IoT/16
iot industrial;http://socialmedia.8020mkt.com.br/palestras/IoT_Industrial/750
jornalismo;http://socialmedia.8020mkt.com.br/palestras/jornalismo/103
jovem;http://socialmedia.8020mkt.com.br/palestras/jovem/761
kunumi;http://socialmedia.8020mkt.com.br/palestras/kunumi/682
legendagem;http://socialmedia.8020mkt.com.br/palestras/legendagem/83
lgbt;http://socialmedia.8020mkt.com.br/palestras/lgbt/176
liderança;http://socialmedia.8020mkt.com.br/palestras/lideranca/126
linguaportuguesa;http://socialmedia.8020mkt.com.br/palestras/linguaportuguesa/717
linkedin;http://socialmedia.8020mkt.com.br/palestras/linkedin/58
links patrocinados;http://socialmedia.8020mkt.com.br/palestras/links_patrocinados/479
lives;http://socialmedia.8020mkt.com.br/palestras/lives/355
livros;http://socialmedia.8020mkt.com.br/palestras/livros/262
local;http://socialmedia.8020mkt.com.br/palestras/local/33
logística;http://socialmedia.8020mkt.com.br/palestras/logistica/99
loylaty;http://socialmedia.8020mkt.com.br/palestras/loylaty/696
marca pessoal;http://socialmedia.8020mkt.com.br/palestras/marca_pessoal/380
marcas;http://socialmedia.8020mkt.com.br/palestras/marcas/61
marcas fodas são;http://socialmedia.8020mkt.com.br/palestras/Marcas_Fodas_Sao/747
marcasentretenimento;http://socialmedia.8020mkt.com.br/palestras/marcasentretenimento/829
marketing;http://socialmedia.8020mkt.com.br/palestras/marketing/831
marketing boca a boca;http://socialmedia.8020mkt.com.br/palestras/marketing_boca_a_boca/577
marketing de conteúdo;http://socialmedia.8020mkt.com.br/palestras/marketing_de_conteudo/688
marketing de influenciadores;http://socialmedia.8020mkt.com.br/palestras/marketing_de_influenciadores/687
marketing de relacionamento;http://socialmedia.8020mkt.com.br/palestras/marketing_de_relacionamento/695
marketing digital;http://socialmedia.8020mkt.com.br/palestras/marketing_digital/762
marketing jovem;http://socialmedia.8020mkt.com.br/palestras/marketing_jovem/760
marketing musical;http://socialmedia.8020mkt.com.br/palestras/marketing_musical/800
marketing pessoal;http://socialmedia.8020mkt.com.br/palestras/marketing_pessoal/379
marketingjuridico;http://socialmedia.8020mkt.com.br/palestras/marketingjuridico/797
marketingmusical;http://socialmedia.8020mkt.com.br/palestras/marketingmusical/803
marketplaces;http://socialmedia.8020mkt.com.br/palestras/marketplaces/410
masculinidade;http://socialmedia.8020mkt.com.br/palestras/masculinidade/465
maternidade;http://socialmedia.8020mkt.com.br/palestras/maternidade/147
meme;http://socialmedia.8020mkt.com.br/palestras/meme/208
memória;http://socialmedia.8020mkt.com.br/palestras/memoria/816
mensuração;http://socialmedia.8020mkt.com.br/palestras/mensuracao/167
mentoria;http://socialmedia.8020mkt.com.br/palestras/mentoria/736
mentoria estratégica mulher;http://socialmedia.8020mkt.com.br/palestras/Mentoria_Estrategica_Mulher/734
mercado;http://socialmedia.8020mkt.com.br/palestras/mercado/155
mercado editorial;http://socialmedia.8020mkt.com.br/palestras/mercado_editorial/263
metodologia;http://socialmedia.8020mkt.com.br/palestras/metodologia/413
métricas;http://socialmedia.8020mkt.com.br/palestras/metricas/60
micromomentos;http://socialmedia.8020mkt.com.br/palestras/micromomentos/781
midia;http://socialmedia.8020mkt.com.br/palestras/midia/755
mídias;http://socialmedia.8020mkt.com.br/palestras/midias/86
midias digitais;http://socialmedia.8020mkt.com.br/palestras/midias_digitais/763
mktdevalor;http://socialmedia.8020mkt.com.br/palestras/mktdevalor/780
mktnointerior;http://socialmedia.8020mkt.com.br/palestras/mktnointerior/779
mobile;http://socialmedia.8020mkt.com.br/palestras/mobile/211
mobilização;http://socialmedia.8020mkt.com.br/palestras/mobilizacao/401
modelo negócios inovadores;http://socialmedia.8020mkt.com.br/palestras/modelo_negocios_inovadores/804
monitoramento;http://socialmedia.8020mkt.com.br/palestras/monitoramento/290
motivação;http://socialmedia.8020mkt.com.br/palestras/Motivacao/724
mudanças;http://socialmedia.8020mkt.com.br/palestras/mudancas/490
multicanal;http://socialmedia.8020mkt.com.br/palestras/multicanal/474
multiplataforma;http://socialmedia.8020mkt.com.br/palestras/multiplataforma/212
música;http://socialmedia.8020mkt.com.br/palestras/musica/491
musicaagora;http://socialmedia.8020mkt.com.br/palestras/MusicaAgora/739
musicblogs;http://socialmedia.8020mkt.com.br/palestras/MusicBlogs/737
narrativas;http://socialmedia.8020mkt.com.br/palestras/narrativas/693
natura;http://socialmedia.8020mkt.com.br/palestras/Natura/786
negócios;http://socialmedia.8020mkt.com.br/palestras/negocios/215
netflix;http://socialmedia.8020mkt.com.br/palestras/netflix/78
netnografia;http://socialmedia.8020mkt.com.br/palestras/netnografia/626
networking;http://socialmedia.8020mkt.com.br/palestras/networking/178
